nazwa,Substancja czynna,postac,dawka,Zawartosc opakowania,Kod EAN lub inny kod odpowiadajacy kodowi EAN,Poziom odplatnosci,Zakres wskazan objetych refundacja,Wysokosc doplaty swiadczeniobiorcy
Minirin Melt,Desmopressinum, liofilizat doustny, 240 ug,30 szt.,05909990068579,ryczalt,Moczowka prosta przysadkowa,"6,40"
Minirin Melt,Desmopressinum, liofilizat doustny, 240 ug,30 szt.,05909990068579,30p,Pierwotne izolowane moczenie nocne u pacjentow powyzej 6 roku zycia z prawidlowa zdolnoscia zageszczania moczu po udokumentowaniu nieskutecznosci 1-miesiecznego postepowania wspomagajacego i motywujacego,"101,23"
Minirin Melt,Desmopressinum, liofilizat doustny, 60 ug,30 szt.,05909990068494,ryczalt,Moczowka prosta przysadkowa,"7,44"
Minirin Melt,Desmopressinum, liofilizat doustny, 60 ug,30 szt.,05909990068494,30p,Pierwotne izolowane moczenie nocne u pacjentow powyzej 6 roku zycia z prawidlowa zdolnoscia zageszczania moczu po udokumentowaniu nieskutecznosci 1-miesiecznego postepowania wspomagajacego i motywujacego,"30,46"
Demezon,Dexamethasonum, tabl., 1 mg,40 szt.,05909991389178,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,07"
Demezon,Dexamethasonum, tabl., 4 mg,20 szt.,05909991389208,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,69"
Dexamethasone Krka,Dexamethasonum, tabl., 0.5 mg,20 tabl.,05909991353735,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,88"
Dexamethasone Krka,Dexamethasonum, tabl., 20 mg,20 szt.,05909991397524,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"28,44"
Dexamethasone Krka,Dexamethasonum, tabl., 20 mg,20 szt.,05909991397258,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"28,44"
Dexamethasone KRKA,Dexamethasonum, tabl., 20 mg,20 szt.,05909991297763,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"28,44"
Dexamethasone Krka,Dexamethasonum, tabl., 4 mg,20 szt.,05909991393984,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,69"
Dexamethasone Krka,Dexamethasonum, tabl., 4 mg,20 szt.,05909991397319,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,33"
Dexamethasone KRKA,Dexamethasonum, tabl., 4 mg,20 szt.,05909991297480,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,60"
Dexamethasone KRKA,Dexamethasonum, tabl., 40 mg,20 szt.,05909991297879,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"56,89"
Dexamethasone KRKA,Dexamethasonum, tabl., 8 mg,20 szt.,05909991297633,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,38"
Pabi-Dexamethason,Dexamethasonum, tabl., 1 mg,20 szt.,05909990170517,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,26"
Pabi-Dexamethason,Dexamethasonum, tabl., 500 ug,20 szt.,05909990170418,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,14"
Relanium,Diazepamum, zawiesina doustna, 2 mg/5 ml,100 g,05909990264018,ryczalt,Padaczka,"3,20"
Relsed,Diazepamum, mikrowlewka doodbytnicza, roztwor,"5 wlew.a 2,5 ml",05909990751518,ryczalt,Padaczka,"11,07"
Relsed,Diazepamum, mikrowlewka doodbytnicza, roztwor,"5 wlew.a 2,5 ml",05909990751617,ryczalt,Padaczka,"3,20"
Diclac,Diclofenacum, roztwor do wstrzykiwan domiesniowych, 75 mg/3 ml,10 amp.po 3 ml,05909990753024,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,01"
Diclac,Diclofenacum, roztwor do wstrzykiwan domiesniowych, 75 mg/3 ml,5 amp.po 3 ml,05909990753017,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,16"
Dicloabak,Diclofenacum, krople do oczu, roztwor,10 ml (but.),05909990074044,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
DicloDuo,Diclofenacum, kaps. o zmodyfikowanym uwalnianiu, 75 mg,30 szt. (3 blist.po 10 szt.),05909990752010,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,79"
Difadol 0,Diclofenacum,1p, krople do oczu, 1 mg/ml,05909991026516,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,76"
Naclof,Diclofenacum, krople do oczu, roztwor,5 ml (but.),05909990145317,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,69"
Naklofen,Diclofenacum, roztwor do wstrzykiwan, 25 mg/ml,5 amp.po 3 ml,05909990241910,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,20"
Naklofen Duo,Diclofenacum, kaps. o zmodyfikowanym uwalnianiu, 75 mg,20 szt.,05909990487714,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,39"
Olfen 75 SR,Diclofenacum, tabl. powl. o przedluzonym uwalnianiu, 75 mg,30 szt. (3 blist.po 10 szt.),05909990974122,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,30"
Olfen Uno,Diclofenacum, tabl. o zmodyfikowanym uwalnianiu, 150 mg,30 szt. (3 blist.po 10 szt.),05909990457120,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,34"
Olfen UNO,Diclofenacum, tabl. o zmodyfikowanym uwalnianiu, 150 mg,60 szt. (6 blist.po 10 szt.),05909990457137,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"15,68"
Dicloratio,Diclofenacum + Lidocainum, roztwor do wstrzykiwan, (75+20) mg/2 ml,3 szt.,05909990413829,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,78"
Olfen 75,Diclofenacum + Lidocainum, roztwor do wstrzykiwan, (37,5 amp.po 2 ml,05909990161119,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,47"
Majamil prolongatum,Diclofenacum natricum, tabl. o przedluzonym uwalnianiu, 100 mg,20 szt.,05909990033614,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,07"
Diemono,Dienogest, tabl. powl., 2 mg,28 szt.,05909991405120,ryczalt,Endometrioza,"3,20"
Endovelle,Dienogestum, tabl., 2 mg,28 szt.,05909991398569,ryczalt,Endometrioza,"3,20"
Endovelle,Dienogestum, tabl., 2 mg,84 szt.,05909991398576,ryczalt,Endometrioza,"8,96"
Symdieno,Dienogestum, tabl. powl., 2 mg,28 szt.,05909991392871,ryczalt,Endometrioza,"3,20"
Visanne,Dienogestum, tabl., 2 mg,28 szt.,05909990776962,ryczalt,Endometrioza,"86,01"
DHC Continus,Dihydrocodeinum, tabl. o zmodyfikowanym uwalnianiu, 60 mg,60 szt.,05909990217045,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,96"
DHC Continus,Dihydrocodeinum, tabl. o zmodyfikowanym uwalnianiu, 60 mg,60 szt.,05909990217045,bezplatny do limitu,Nowotwory zlosliwe,"0,00"
DHC Continus,Dihydrocodeinum, tabl. o zmodyfikowanym uwalnianiu, 90 mg,60 szt.,05909990217069,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"22,58"
DHC Continus,Dihydrocodeinum, tabl. o zmodyfikowanym uwalnianiu, 90 mg,60 szt.,05909990217069,bezplatny do limitu,Nowotwory zlosliwe,"3,13"
Dilzem 120 retard,Diltiazemum, tabl. o przedluzonym uwalnianiu, 120 mg,30 tabl.,05909990482917,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,78"
Dilzem 180 retard,Diltiazemum, tabl. o przedluzonym uwalnianiu, 180 mg,30 tabl.,05909990483310,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,52"
Dilzem retard,Diltiazemum, tabl. o przedluzonym uwalnianiu, 90 mg,30 tabl.,05909990213214,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,84"
Oxycardil 120,Diltiazemum, tabl. powl. o przedluzonym uwalnianiu, 120 mg,30 szt. (3 blist.po 10 szt.),05909990112616,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,64"
Oxycardil 180,Diltiazemum, tabl. powl. o przedluzonym uwalnianiu, 180 mg,30 szt. (3 blist.po 10 szt.),05909990416318,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,44"
Oxycardil 60,Diltiazemum, tabl. powl., 60 mg,60 szt. (6 blist.po 10 szt.),05909990121120,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Pamifos-30,Dinatrii pamidronas, proszek i rozpuszczalnik do sporzadzania roztworu do infuzji, 30 mg,2 fiol. z prosz.po 30 mg + 2 amp.po 10 ml,05909990661671,ryczalt,Nowotwory zlosliwe - Przerzuty osteolityczne w chorobach nowotworowych,"7,48"
Pamifos-60,Dinatrii pamidronas, proszek i rozpuszczalnik do sporzadzania roztworu do infuzji, 60 mg,1 fiol. z prosz.po 60 mg + 1 amp.po 10 ml,05909990661688,ryczalt,Nowotwory zlosliwe - Przerzuty osteolityczne w chorobach nowotworowych,"7,48"
Pamifos-90,Dinatrii pamidronas, proszek i rozpuszczalnik do sporzadzania roztworu do infuzji, 90 mg,1 fiol. z prosz.po 90 mg + 1 amp.po 10 ml,05909990661695,ryczalt,Nowotwory zlosliwe - Przerzuty osteolityczne w chorobach nowotworowych,"3,20"
Cogiton 10,Donepezil hydrochloride, tabl. powl., 10 mg,56 szt.,05909991024420,30p,Choroba Alzheimera,"21,58"
Donecept,Donepezili hydrochloridum, tabletki powlekane, 10 mg,28 tabl.,05909991344481,30p,Choroba Alzheimera,"8,37"
Donectil,Donepezili hydrochloridum, tabl. powl., 10 mg,28 szt.,05909990683666,30p,Choroba Alzheimera,"10,92"
Donectil,Donepezili hydrochloridum, tabl. powl., 5 mg,28 szt.,05909990683581,30p,Choroba Alzheimera,"7,59"
Donepezil Polfarmex,Donepezili hydrochloridum, tabl., 10 mg,28 szt.,05909990877669,30p,Choroba Alzheimera,"13,15"
Donepezil Polfarmex,Donepezili hydrochloridum, tabl., 5 mg,28 szt.,05909990877553,30p,Choroba Alzheimera,"7,88"
Symepezil,Donepezili hydrochloridum, tabl. powl., 10 mg,28 szt.,05909991275778,30p,Choroba Alzheimera,"10,58"
Symepezil,Donepezili hydrochloridum, tabl. powl., 5 mg,28 szt.,05909991275747,30p,Choroba Alzheimera,"5,89"
Apo-Doperil,Donepezilum, tabl. powl., 10 mg,28 szt.,05909990770045,30p,Choroba Alzheimera,"12,97"
Apo-Doperil,Donepezilum, tabl. powl., 10 mg,98 szt.,05902020661474,30p,Choroba Alzheimera,"27,74"
Apo-Doperil,Donepezilum, tabl. powl., 5 mg,28 szt.,05909990770038,30p,Choroba Alzheimera,"12,29"
Cogiton 10,Donepezilum, tabl. powl., 10 mg,28 szt.,05909991024413,30p,Choroba Alzheimera,"17,50"
Cogiton 10,Donepezilum, tabl. powl., 10 mg,84 szt.,05907695215380,30p,Choroba Alzheimera,"31,65"
Cogiton 5,Donepezilum, tabl. powl., 5 mg,28 szt.,05909991024314,30p,Choroba Alzheimera,"12,56"
Donecept,Donepezilum, tabl. powl., 10 mg,28 szt.,05909990689873,30p,Choroba Alzheimera,"13,42"
Donecept,Donepezilum, tabletki powlekane, 10 mg,28 tabletek,05909991328726,30p,Choroba Alzheimera,"8,71"
Donecept,Donepezilum, tabl. powl., 5 mg,28 szt.,05909990689781,30p,Choroba Alzheimera,"7,31"
Donectil ODT,Donepezilum, tabl. ulegajace rozpadowi w jamie ustnej, 10 mg,30 szt.,05909990851492,30p,Choroba Alzheimera,"12,22"
Donepestan,Donepezilum, tabl. powl., 10 mg,28 tabl.,05909990825677,30p,Choroba Alzheimera,"7,44"
Donepestan,Donepezilum, tabl. powl., 10 mg,98 szt.,05909990825745,30p,Choroba Alzheimera,"22,43"
Donepestan,Donepezilum, tabl. powl., 5 mg,28 tabl.,05909990825561,30p,Choroba Alzheimera,"4,02"
Donepestan,Donepezilum, tabl. powl., 5 mg,98 szt.,05909990825639,30p,Choroba Alzheimera,"12,07"
Donepex,Donepezilum, tabl. powl., 10 mg,28 szt.,05909991056018,30p,Choroba Alzheimera,"10,92"
Donepex,Donepezilum, tabl. powl., 5 mg,28 szt.,05909991055912,30p,Choroba Alzheimera,"6,45"
Donepezil Bluefish,Donepezilum, tabl. powl., 10 mg,28 szt.,05909990814138,30p,Choroba Alzheimera,"8,00"
Donepezil Bluefish,Donepezilum, tabl. powl., 5 mg,28 szt.,05909990814077,30p,Choroba Alzheimera,"4,30"
Doneprion,Donepezilum, tabl. powl., 10 mg,28 tabl.,05909990776900,30p,Choroba Alzheimera,"10,58"
Doneprion,Donepezilum, tabl. powl., 5 mg,28 szt.,05909990776870,30p,Choroba Alzheimera,"7,59"
Donesyn,Donepezilum, tabl. powl., 10 mg,28 szt. (2 blist.po 14 szt.),05909990657360,30p,Choroba Alzheimera,"12,01"
Donesyn,Donepezilum, tabl. powl., 5 mg,28 szt. (2 blist.po 14 szt.),05909990657353,30p,Choroba Alzheimera,"7,59"
Pamigen,Donepezilum, tabl. powl., 10 mg,28 szt. (2 blist.po 14 szt.),05909990726936,30p,Choroba Alzheimera,"12,06"
Pamigen,Donepezilum, tabl. powl., 5 mg,28 szt. (2 blist.po 14 szt.),05909990726929,30p,Choroba Alzheimera,"7,02"
Ricordo,Donepezilum, tabl. ulegajace rozpadowi w jamie ustnej, 10 mg,28 szt.,05909990798940,30p,Choroba Alzheimera,"13,42"
Ricordo,Donepezilum, tabl. ulegajace rozpadowi w jamie ustnej, 5 mg,28 szt.,05909990798933,30p,Choroba Alzheimera,"14,27"
Yasnal,Donepezilum, tabl. powl., 10 mg,28 szt.,05909990993314,30p,Choroba Alzheimera,"12,63"
Yasnal,Donepezilum, tabl. powl., 5 mg,28 szt.,05909990993215,30p,Choroba Alzheimera,"12,80"
Yasnal Q-Tab,Donepezilum, tabl. ulegajace rozpadowi w jamie ustnej, 10 mg,28 szt.,05909990850204,30p,Choroba Alzheimera,"12,63"
Yasnal Q-Tab,Donepezilum, tabl. ulegajace rozpadowi w jamie ustnej, 5 mg,28 szt.,05909990850075,30p,Choroba Alzheimera,"12,80"
Pulmozyme,Dornasum alfa, roztwor do nebulizacji, 1 mg/ml,"30 amp.a 2,5 ml",05909990375813,ryczalt,Mukowiscydoza,"3,20"
Dorzolamid STADA,Dorzolamidum, krople do oczu, roztwor,1 but.po 5 ml,05909990880591,ryczalt,Jaskra,"6,72"
Dorzoma Mono,Dorzolamidum, krople do oczu, roztwor,1 but.po 5 ml,05909991234904,ryczalt,Jaskra,"6,67"
Dropzol,Dorzolamidum, krople do oczu, roztwor,1 but.,05909990838325,ryczalt,Jaskra,"7,35"
Nodofree,Dorzolamidum, krople do oczu, roztwor,1 butelka 5 ml,05909991344306,ryczalt,Jaskra,"6,72"
Nodofree,Dorzolamidum, krople do oczu, roztwor,3 butelki 5 ml,05909991344313,ryczalt,Jaskra,"11,90"
Nodom,Dorzolamidum, krople do oczu, roztwor,1 but.po 5 ml,05909990942855,ryczalt,Jaskra,"9,73"
Nodom,Dorzolamidum, krople do oczu, roztwor,3 butelki po 5 ml,05900257101015,ryczalt,Jaskra,"11,90"
Rozalin,Dorzolamidum, krople do oczu, roztwor,1 but.po 5 ml,05909990643929,ryczalt,Jaskra,"11,43"
Rozalin,Dorzolamidum, krople do oczu, roztwor,3 x 5 ml,05906414000962,ryczalt,Jaskra,"13,32"
Trusopt,Dorzolamidum, krople do oczu, roztwor,1 but.po 5 ml,05909990661329,ryczalt,Jaskra,"8,67"
Vizidor,Dorzolamidum, krople do oczu, 20 mg/ml,1 butelka po 5 ml,05909991310936,ryczalt,Jaskra,"6,72"
Vizidor,Dorzolamidum, krople do oczu, 20 mg/ml,3 butelki po 5 ml,05909991310943,ryczalt,Jaskra,"11,90"
Cosopt,Dorzolamidum + Timololum, krople do oczu, roztwor,1 but.po 5 ml,05909990442423,ryczalt,Jaskra,"12,01"
Dropzol Tim,Dorzolamidum + Timololum, krople do oczu, roztwor,1 but.po 5 ml,05909990898305,ryczalt,Jaskra,"5,14"
Nodofree Combi,Dorzolamidum + Timololum, krople do oczu, roztwor,1 but. po 5 ml,05909991340674,ryczalt,Jaskra,"5,14"
Nodofree Combi,Dorzolamidum + Timololum, krople do oczu, roztwor,3 but. po 5 ml,05909991340681,ryczalt,Jaskra,"8,00"
Nodom Combi,Dorzolamidum + Timololum, krople do oczu, roztwor,1 but.po 5 ml,05909991067267,ryczalt,Jaskra,"9,01"
Nodom Combi,Dorzolamidum + Timololum, krople do oczu, roztwor,3 but.po 5 ml,05909991067274,ryczalt,Jaskra,"8,00"
Oftidorix,Dorzolamidum + Timololum, krople do oczu, roztwor,5 ml,05909990866144,ryczalt,Jaskra,"5,28"
Rozacom,Dorzolamidum + Timololum, krople do oczu, roztwor,1 but.po 5 ml,05909990746705,ryczalt,Jaskra,"10,02"
Rozacom,Dorzolamidum + Timololum, krople do oczu, roztwor,3 x 5 ml w butelce,05906414000955,ryczalt,Jaskra,"8,00"
Vizidor Duo,Dorzolamidum + Timololum, krople do oczu, 20 + 5  mg/ml,1 butelka po 5 ml,05909991311049,ryczalt,Jaskra,"5,14"
Vizidor Duo,Dorzolamidum + Timololum, krople do oczu, 20 + 5  mg/ml,3 butelki po 5 ml,05909991311056,ryczalt,Jaskra,"8,00"
Doxazosin Aurovitas,Doxazosini mesilas, tabletki, 2 mg,30 szt.,05909991305291,ryczalt,Przerost gruczolu krokowego,"3,20"
Doxazosin Aurovitas,Doxazosini mesilas, tabletki, 2 mg,30 szt.,05909991305291,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,57"
Doxazosin Aurovitas,Doxazosini mesilas, tabletki, 4 mg,30 szt.,05909991305420,ryczalt,Przerost gruczolu krokowego,"3,20"
Doxazosin Aurovitas,Doxazosini mesilas, tabletki, 4 mg,30 szt.,05909991305420,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,72"
Adadox,Doxazosinum, tabletki, 2 mg,30 tabl.,05909990901890,ryczalt,Przerost gruczolu krokowego,"3,20"
Adadox,Doxazosinum, tabletki, 2 mg,30 tabl.,05909990901890,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,78"
Adadox,Doxazosinum, tabletki, 4 mg,30 tabl.,05909990902255,ryczalt,Przerost gruczolu krokowego,"3,20"
Adadox,Doxazosinum, tabletki, 4 mg,30 tabl.,05909990902255,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,16"
Adadox,Doxazosinum, tabletki, 4 mg,90 tabl.,05909990902293,ryczalt,Przerost gruczolu krokowego,"9,60"
Adadox,Doxazosinum, tabletki, 4 mg,90 tabl.,05909990902293,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,77"
Apo-Doxan 1,Doxazosinum, tabl., 1 mg,30 szt.,05909990969517,ryczalt,Przerost gruczolu krokowego,"10,14"
Apo-Doxan 1,Doxazosinum, tabl., 1 mg,30 szt.,05909990969517,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,75"
Apo-Doxan 2,Doxazosinum, tabl., 2 mg,30 szt.,05909990969616,ryczalt,Przerost gruczolu krokowego,"11,45"
Apo-Doxan 2,Doxazosinum, tabl., 2 mg,30 szt.,05909990969616,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,88"
Apo-Doxan 4,Doxazosinum, tabl., 4 mg,30 szt.,05909990969715,ryczalt,Przerost gruczolu krokowego,"6,31"
Apo-Doxan 4,Doxazosinum, tabl., 4 mg,30 szt.,05909990969715,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,36"
Apo-Doxan 4,Doxazosinum, tabl., 4 mg,60 szt.,05909991271367,ryczalt,Przerost gruczolu krokowego,"6,40"
Apo-Doxan 4,Doxazosinum, tabl., 4 mg,60 szt.,05909991271367,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,83"
Cardura XL,Doxazosinum, tabl. o zmodyfikowanym uwalnianiu, 4 mg,30 tabl.,05909990431410,ryczalt,Przerost gruczolu krokowego,"4,95"
Cardura XL,Doxazosinum, tabl. o zmodyfikowanym uwalnianiu, 4 mg,30 tabl.,05909990431410,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,00"
Cardura XL,Doxazosinum, tabl. o zmodyfikowanym uwalnianiu, 8 mg,30 szt.,05909990431519,ryczalt,Przerost gruczolu krokowego,"12,88"
Cardura XL,Doxazosinum, tabl. o zmodyfikowanym uwalnianiu, 8 mg,30 szt.,05909990431519,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"20,98"
Doxagen,Doxazosinum, tabl. o przedluzonym uwalnianiu, 4 mg,30 szt. (3 blist.po 10 szt.),05909990037957,ryczalt,Przerost gruczolu krokowego,"3,36"
Doxagen,Doxazosinum, tabl. o przedluzonym uwalnianiu, 4 mg,30 szt. (3 blist.po 10 szt.),05909990037957,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,41"
Doxalong / Doxar XL,Doxazosinum, tabl. o przedluzonym uwalnianiu, 4 mg,30 szt.,05909990790951,ryczalt,Przerost gruczolu krokowego,"4,39"
Doxalong / Doxar XL,Doxazosinum, tabl. o przedluzonym uwalnianiu, 4 mg,30 szt.,05909990790951,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,44"
Doxalong / Doxar XL,Doxazosinum, tabl. o przedluzonym uwalnianiu, 4 mg,90 szt.,05909990884582,ryczalt,Przerost gruczolu krokowego,"9,60"
Doxalong / Doxar XL,Doxazosinum, tabl. o przedluzonym uwalnianiu, 4 mg,90 szt.,05909990884582,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"21,12"
Doxanorm,Doxazosinum, tabl., 1 mg,30 szt. (3 blist.po 10 szt.),05909990854318,ryczalt,Przerost gruczolu krokowego,"11,52"
Doxanorm,Doxazosinum, tabl., 1 mg,30 szt. (3 blist.po 10 szt.),05909990854318,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,13"
Doxanorm,Doxazosinum, tabl., 2 mg,30 szt. (3 blist.po 10 szt.),05909990854417,ryczalt,Przerost gruczolu krokowego,"10,14"
Doxanorm,Doxazosinum, tabl., 2 mg,30 szt. (3 blist.po 10 szt.),05909990854417,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,57"
